phase,alpha,beta,acc,mae,rmse,time_s
coarse,0.0,0.0,nan,nan,nan,0.0
coarse,0.0,0.25,0.734405,0.437185,0.888773,18000.35
coarse,0.0,0.5,0.731393,0.44056,0.885401,19325.52
coarse,0.0,0.75,0.733302,0.442885,0.894754,18680.69
coarse,0.0,1.0,0.734745,0.4435,0.893736,18467.79
coarse,0.25,0.0,0.19753,1.369737,1.967938,19714.16
coarse,0.25,0.25,0.890223,0.327782,0.712535,19042.41
coarse,0.25,0.5,0.876602,0.332046,0.729092,19583.13
coarse,0.25,0.75,0.868455,0.340839,0.742202,18998.07
coarse,0.25,1.0,0.866248,0.341021,0.744271,19597.83
coarse,0.5,0.0,0.191165,1.376907,1.974239,20214.37
coarse,0.5,0.25,0.903972,0.315757,0.69018,23090.19
coarse,0.5,0.5,0.886404,0.329828,0.718033,20452.42
coarse,0.5,0.75,0.872401,0.334952,0.724968,22440.91
coarse,0.5,1.0,0.881821,0.335377,0.734979,24207.14
coarse,0.75,0.0,0.197997,1.372671,1.977449,24463.14
coarse,0.75,0.25,0.907154,0.313472,0.682359,20460.52
coarse,0.75,0.5,0.892684,0.319508,0.70078,19127.22
coarse,0.75,0.75,0.886107,0.32506,0.709124,18837.99
coarse,0.75,1.0,0.88233,0.331829,0.733397,19820.38
coarse,1.0,0.0,0.186879,1.368009,1.966217,19602.17
coarse,1.0,0.25,0.914665,0.309739,0.679446,20966.88
coarse,1.0,0.5,0.901893,0.316932,0.695322,22777.02
coarse,1.0,0.75,0.891751,0.32217,0.707387,18681.6
coarse,1.0,1.0,0.884028,0.331594,0.719802,19258.44
