phase,alpha,beta,acc,mae,rmse,time_s
coarse,0.0,0.0,nan,nan,nan,0.0
coarse,0.0,0.25,0.728957,0.454499,0.939843,14595.57
coarse,0.0,0.5,0.778223,0.437542,0.919851,15501.68
coarse,0.0,0.75,0.768595,0.437234,0.926864,15346.8
coarse,0.0,1.0,0.728558,0.453276,0.940662,14743.87
coarse,0.25,0.0,0.18903,1.383847,2.014311,16177.2
coarse,0.25,0.25,0.89097,0.32994,0.743529,15278.55
coarse,0.25,0.5,0.871296,0.347907,0.779618,15316.35
coarse,0.25,0.75,0.866038,0.345636,0.770889,14669.78
coarse,0.25,1.0,0.861795,0.35298,0.789232,15196.09
coarse,0.5,0.0,0.189937,1.359151,1.97121,15499.06
coarse,0.5,0.25,0.893853,0.32323,0.718971,15397.85
coarse,0.5,0.5,0.885947,0.330966,0.735593,15161.78
coarse,0.5,0.75,0.882647,0.336805,0.756658,15320.64
coarse,0.5,1.0,0.875866,0.339574,0.763155,15079.49
coarse,0.75,0.0,0.200635,1.371252,1.994203,16200.18
coarse,0.75,0.25,0.908812,0.313803,0.703269,14927.83
coarse,0.75,0.5,0.901106,0.320762,0.72282,14936.33
coarse,0.75,0.75,0.885966,0.33681,0.754111,15053.05
coarse,0.75,1.0,0.882158,0.332468,0.745309,15850.14
coarse,1.0,0.0,0.203101,1.377292,2.002989,16007.71
coarse,1.0,0.25,0.914615,0.304424,0.689543,15390.3
