phase,alpha,beta,acc,mae,rmse,time_s
coarse,0.0,0.0,nan,nan,nan,0.0
coarse,0.0,0.25,0.661338,9.980311,33.711975,9339.59
coarse,0.0,0.5,0.664599,9.978436,33.818092,9316.55
coarse,0.0,0.75,0.660224,9.85223,33.759586,9071.85
coarse,0.0,1.0,0.660145,10.044837,33.977703,9356.31
coarse,0.25,0.0,0.348525,6.564593,22.022655,11101.72
coarse,0.25,0.25,0.719558,8.329057,28.235626,11460.76
coarse,0.25,0.5,0.701185,8.706676,29.865244,11561.43
coarse,0.25,0.75,0.690527,8.896376,30.194008,11758.22
coarse,0.25,1.0,0.687187,8.992327,30.002966,11751.03
coarse,0.5,0.0,0.354172,6.912369,23.361053,12175.35
coarse,0.5,0.25,0.754394,8.393858,28.324991,11894.28
coarse,0.5,0.5,0.720512,8.368085,27.51799,11746.81
coarse,0.5,0.75,0.705003,8.797652,29.293356,10313.71
coarse,0.5,1.0,0.694822,8.769179,29.877762,9362.68
coarse,0.75,0.0,0.350593,6.769412,22.022898,9898.7
