phase,alpha,beta,acc,mae,rmse,time_s
coarse,0.0,0.0,nan,nan,nan,0.0
coarse,0.0,0.25,0.659078,9.874715,33.167667,9339.59
coarse,0.0,0.5,0.658016,9.792691,32.909901,9316.55
coarse,0.0,0.75,0.65469,9.903521,33.726528,9071.85
coarse,0.0,1.0,0.65709,9.848578,33.36359,9356.31
coarse,0.25,0.0,0.346544,7.324218,25.405449,11101.72
coarse,0.25,0.25,0.715236,8.339937,26.476269,11460.76
coarse,0.25,0.5,0.695283,8.601652,27.546398,11561.43
coarse,0.25,0.75,0.6887,8.729104,28.44273,11758.22
coarse,0.25,1.0,0.680197,8.956441,29.596189,11751.03
coarse,0.5,0.0,0.35179,7.992372,27.719055,12175.35
coarse,0.5,0.25,0.745029,8.302092,26.806559,11894.28
coarse,0.5,0.5,0.71887,8.372174,26.670822,11746.81
coarse,0.5,0.75,0.704711,8.825371,27.99748,10313.71
coarse,0.5,1.0,0.696311,8.723584,28.420113,9362.68
coarse,0.75,0.0,0.344419,7.772552,26.913761,9898.7
