phase,alpha,beta,acc,mae,rmse,time_s
coarse,0.0,0.0,nan,nan,nan,0.0
coarse,0.0,0.25,0.661735,0.376007,0.602482,9058.8
coarse,0.0,0.5,0.661895,0.380254,0.608838,8875.61
coarse,0.0,0.75,0.660861,0.378558,0.606071,8854.71
coarse,0.0,1.0,0.654975,0.377946,0.606741,8854.08
coarse,0.25,0.0,0.372862,0.410821,0.637352,11889.94
coarse,0.25,0.25,0.676927,0.379413,0.617023,11446.56
coarse,0.25,0.5,0.682733,0.382835,0.617185,11395.04
coarse,0.25,0.75,0.66778,0.375414,0.604574,10463.9
coarse,0.25,1.0,0.667064,0.38174,0.610878,8962.01
coarse,0.5,0.0,0.361171,0.401938,0.630476,9506.21
coarse,0.5,0.25,0.673268,0.378507,0.606252,9046.57
coarse,0.5,0.5,0.677165,0.378353,0.609178,8971.32
coarse,0.5,0.75,0.676688,0.381037,0.608261,9480.27
coarse,0.5,1.0,0.679233,0.376452,0.601584,9103.02
coarse,0.75,0.0,0.373976,0.399317,0.629491,10127.76
coarse,0.75,0.25,0.687585,0.377875,0.610086,9117.79
coarse,0.75,0.5,0.67804,0.376577,0.601135,9069.23
coarse,0.75,0.75,0.683846,0.382125,0.612203,9115.42
coarse,0.75,1.0,0.672393,0.385355,0.615905,10456.38
coarse,1.0,0.0,0.365863,0.405708,0.634354,12049.3
coarse,1.0,0.25,0.702776,0.378859,0.604807,9180.86
coarse,1.0,0.5,0.692913,0.380769,0.606795,9596.1
coarse,1.0,0.75,0.686948,0.380116,0.604571,11004.8
coarse,1.0,1.0,0.67804,0.383013,0.607738,9357.14
