phase,alpha,beta,acc,mae,rmse,time_s
coarse,0.0,0.0,nan,nan,nan,0.0
coarse,0.0,0.25,0.659216,0.375401,0.599123,9058.8
coarse,0.0,0.5,0.660758,0.374692,0.59626,8875.61
coarse,0.0,0.75,0.657227,0.373837,0.596021,8854.71
coarse,0.0,1.0,0.655239,0.376132,0.598224,8854.08
coarse,0.25,0.0,0.374349,0.445874,0.674611,11889.94
coarse,0.25,0.25,0.673375,0.378449,0.601575,11446.56
coarse,0.25,0.5,0.679443,0.37894,0.603171,11395.04
coarse,0.25,0.75,0.666141,0.37459,0.595749,10463.9
coarse,0.25,1.0,0.664735,0.376779,0.598398,8962.01
coarse,0.5,0.0,0.361321,0.428978,0.665443,9506.21
coarse,0.5,0.25,0.671764,0.375783,0.598479,9046.57
coarse,0.5,0.5,0.671832,0.378507,0.602308,8971.32
coarse,0.5,0.75,0.675706,0.378834,0.600897,9480.27
coarse,0.5,1.0,0.673032,0.377605,0.600459,9103.02
coarse,0.75,0.0,0.37044,0.427218,0.661785,10127.76
coarse,0.75,0.25,0.686163,0.378814,0.597843,9117.79
coarse,0.75,0.5,0.673786,0.377317,0.598354,9069.23
coarse,0.75,0.75,0.679512,0.382506,0.609933,9115.42
coarse,0.75,1.0,0.671695,0.383801,0.60767,10456.38
coarse,1.0,0.0,0.362898,0.438817,0.672978,12049.3
coarse,1.0,0.25,0.698779,0.378823,0.598498,9180.86
coarse,1.0,0.5,0.684586,0.378487,0.598587,9596.1
coarse,1.0,0.75,0.686026,0.385719,0.617951,11004.8
coarse,1.0,1.0,0.673409,0.384029,0.605392,9357.14
