phase,alpha,beta,acc,mae,rmse,time_s
coarse,0.0,0.0,nan,nan,nan,0.0
coarse,0.0,0.25,0.611938,0.33643,0.825171,7384.37
coarse,0.0,0.5,0.613363,0.339167,0.82814,7353.6
coarse,0.0,0.75,0.614528,0.336498,0.825279,7304.6
coarse,0.0,1.0,0.613622,0.337152,0.82633,7345.25
coarse,0.25,0.0,0.245241,1.162522,1.461325,8229.1
coarse,0.25,0.25,0.68911,0.28988,0.739223,7640.18
coarse,0.25,0.5,0.694549,0.299572,0.758562,7513.11
coarse,0.25,0.75,0.67668,0.311216,0.783698,7482.0
coarse,0.25,1.0,0.658682,0.317337,0.796723,7424.71
coarse,0.5,0.0,0.239026,1.179006,1.481986,8254.72
coarse,0.5,0.25,0.731063,0.285695,0.736545,7870.02
coarse,0.5,0.5,0.711641,0.288314,0.74656,7537.14
coarse,0.5,0.75,0.685355,0.297908,0.753602,7710.64
coarse,0.5,1.0,0.68173,0.307205,0.775098,7598.26
coarse,0.75,0.0,0.232941,1.17541,1.477053,8257.83
coarse,0.75,0.25,0.741033,0.271522,0.702472,7888.84
coarse,0.75,0.5,0.718244,0.28662,0.728028,7365.29
coarse,0.75,0.75,0.710346,0.288905,0.743391,7343.42
coarse,0.75,1.0,0.69416,0.292295,0.755314,7348.07
coarse,1.0,0.0,0.239415,1.172616,1.475638,8632.35
coarse,1.0,0.25,0.757089,0.265927,0.682036,7786.61
coarse,1.0,0.5,0.719021,0.283737,0.722665,7597.27
coarse,1.0,0.75,0.717985,0.279801,0.720886,7578.11
coarse,1.0,1.0,0.70931,0.284396,0.742394,7365.67
